step,node,belief
0,http://node1:8000,0.5839097105887492
0,http://node2:8000,0.4587001094475662
0,http://node3:8000,0.44735728137400493
1,http://node1:8000,0.5702544676672747
1,http://node2:8000,0.5144772885574205
1,http://node3:8000,0.5077652878390789
2,http://node1:8000,0.5640055496844552
2,http://node2:8000,0.5392414191209378
2,http://node3:8000,0.5360938059927519
3,http://node1:8000,0.5612143753152848
3,http://node2:8000,0.5502278972181114
3,http://node3:8000,0.5488144880955754
4,http://node1:8000,0.559974386593314
4,http://node2:8000,0.5551011419057127
4,http://node3:8000,0.554472476524699
5,http://node1:8000,0.5594241955864525
5,http://node2:8000,0.5572626687460827
5,http://node3:8000,0.5569836495239443
6,http://node1:8000,0.5591801409802017
6,http://node2:8000,0.5582214048631422
6,http://node3:8000,0.5580976293292225
7,http://node1:8000,0.5590718898151039
7,http://node2:8000,0.5586466473391231
7,http://node3:8000,0.5585917455381331
8,http://node1:8000,0.5590238753874068
8,http://node2:8000,0.558835261363265
8,http://node3:8000,0.5588109097807518
9,http://node1:8000,0.5590025788267413
9,http://node2:8000,0.5589189200950031
9,http://node3:8000,0.558908119063578
10,http://node1:8000,0.558993132850425
10,http://node2:8000,0.558956026472714
10,http://node3:8000,0.5589512357318005
11,http://node1:8000,0.5589889431385625
11,http://node2:8000,0.5589724848056383
11,http://node3:8000,0.5589703598982546
12,http://node1:8000,0.5589870848145317
12,http://node2:8000,0.558979784810085
12,http://node3:8000,0.5589788423189019
13,http://node1:8000,0.5589862605649687
13,http://node2:8000,0.5589830226875269
13,http://node3:8000,0.5589826046506644
14,http://node1:8000,0.5589858949735382
14,http://node2:8000,0.5589844588305326
14,http://node3:8000,0.5589842734125458
15,http://node1:8000,0.558985732817439
15,http://node2:8000,0.5589850958239858
15,http://node3:8000,0.5589850135828418
16,http://node1:8000,0.5589856608939794
16,http://node2:8000,0.5589853783589827
16,http://node3:8000,0.5589853418813686
17,http://node1:8000,0.5589856289927183
17,http://node2:8000,0.5589855036758504
17,http://node3:8000,0.5589854874964022
18,http://node1:8000,0.5589856148430866
18,http://node2:8000,0.5589855592594686
18,http://node3:8000,0.5589855520831619
19,http://node1:8000,0.5589856085670942
19,http://node2:8000,0.5589855839132813
19,http://node3:8000,0.5589855807302695
